Vegetation_ID,Vegetation_formation_and_sub-formation,Vegetation_type
366b,"Achnatherum splendens, Stipa breviflora steppe",Temperate tufted grass steppes
374a,"Carex pediformis, Stipa capillata steppe",Temperate tufted grass steppes
375+379,"Thymus mongolicus, tufted grass steppe and Artemisia giraldii, grass steppe",
377a,"Artemisia frigida, Festuca sulcata steppe",Temperate tufted grass steppes
377b,"Artemisia frigida, tufted low grass steppe",Temperate tufted grass steppes
382+383,Stipa gobica steppe and Stipa klemenzii steppe,
385+324,Stipa breviflora steppe and Ajania fruticulosa desert,
385+360,Stipa breviflora steppe and Stipa bungeana steppe,
392a,Cleistogenes songorica steppe,"Temperate tufted low grass, nano-semi-shrub desert steppes"
392b,Degraded communities of Cleistogenes songorica steppe,"Temperate tufted low grass, nano-semi-shrub desert steppes"
405a,Stipa purpurea steppe,"Grass, Carex spp. high-cold steppes"
405a+416a,Stipa purpurea steppe and Carex moorcroftii steppe,
405a+497a,"Stipa purpurea steppe and Poa rossbergiana, Littledalea racemosa meadow",
405b,"Stipa purpurea, Ceratoides compacta steppe","Grass, Carex spp. high-cold steppes"
405c,"Stipa purpurea, Carex ivanoviae steppe","Grass, Carex spp. high-cold steppes"
405d,"Stipa purpurea, Carex montis-everestii steppe","Grass, Carex spp. high-cold steppes"
405e,"Stipa purpurea, Carex moorcroftii steppe","Grass, Carex spp. high-cold steppes"
405e+416b,"Stipa purpurea, Carex moorcroftii steppe and Carex moorcroftii, Stipa purpurea steppe ",
406a,Stipa subsessiliflora var. basiplumosa steppe,"Grass, Carex spp. high-cold steppes"
416a,Carex moorcroftii steppe,"Grass, Carex spp. high-cold steppes"
416a+405a,Carex moorcroftii steppe and Stipa purpurea steppe,
416b,"Carex moorcroftii, Stipa purpurea steppe ","Grass, Carex spp. high-cold steppes"
416c,"Carex moorcroftii, Ceratoides compacta steppe ","Grass, Carex spp. high-cold steppes"
417+418,"Artemisia salsoloides var. wellbyi, Stipa spp. steppe and Artemisia younghusbandii, Orinus thoroldii steppe",
417+418+360a,"Artemisia salsoloides var. wellbyi, Stipa spp. Steppe, Artemisia younghusbandii, Orinus thoroldii steppe and Stipa bungeana steppe",
419a,Bothriachloa ischaemum grassland,Temperate grasslands
419a+556,"Bothriachloa ischaemum grassland and Spring (winter) wheat, millet, panic, lucerne; musk melon field; apple, walnut orchard",
419b,"Vitex negundo var. heterophylla, Ziziphus sativa var. spinosus, Bothriochloa ischaemum scrub and grassland",Temperate grasslands
420a,Themeda triandra var. japonica grassland,Temperate grasslands
420b,"Vitex negundo var. heterophylla, Ziziphus sativa var. spinosus, Themeda triandra var. japonica scrub and grassalnd",Temperate grasslands
420c,"Themeda triandra var. japanica, Carex spp., Miscanthus sinensis grassland",Temperate grasslands
421a,"Miscanthus sinensis, Arundinella hirta, Eulalia speciosa grassland",Subtropical and tropical grasslands
421b,"Miscanthus sinensis, Eulaliopsis binata grassland",Subtropical and tropical grasslands
424a,Arundinella steosa grassland,Subtropical and tropical grasslands
424a+023b,"Arundinella steosa grassland and Pinus massoniana forest at shrub layer dominatd by Loropetalum chinense, Rhododendron simsii",
424b,"Arundinella setosa, Schizachyrium delavayi grassland",Subtropical and tropical grasslands
427a,"Heteropogon contortus, Eulaliopsis binata, Imperata cylindrica var. major grassland",Subtropical and tropical grasslands
427b,"Heteropogon contortus, Bothriochloa pertuosa, Cymbopogon spp. grassland",Subtropical and tropical grasslands
429a,"Imperara cylindrica var. major, Heteropogon contortus, Eulaliopsis binata grassalnd",Subtropical and tropical grasslands
429b,"Imperata cylindrica var. major, Arundinella bengalensis grassland",Subtropical and tropical grasslands
434a,"Vitex rotundifolia, Artemisia capillaris community",Subtropical and tropical grasslands
434b,"Vitex rotundifolia, Carex kobomugi community",Subtropical and tropical grasslands
442a,"Arundinella hirta, Carex spp. meadow",Grass and forb meadows
442b,"Arundinella hirta, Spodiopogon sibiricus, forb meadow",Grass and forb meadows
455a,"with Salix brachypota, Corylus heterophylla",Grass and forb meadows
455b,"with Betula fruticosa, Salix brachypoda",Grass and forb meadows
455c,with Carex spp.,Grass and forb meadows
458+068,"Agrostis alba, Hordeum bogdanii meadow and Ulmus propinqua, Fraxinus mandshurica, Juglans mandshurica forest",
459a,with Betula fruticosa,"Grass, Carex and forb swamp meadows"
459b,with Salix brachypoda,"Grass, Carex and forb swamp meadows"
462a,"Blysmus sinocompressus, Calamagrostis epigejos meadow","Grass, Carex and forb swamp meadows"
469+195,Phragmites communis meadow and Myricaria squamosa scrub,
469+277,Phragmites communis meadow and Tamarix hohenackeri desert,
469+279,Phragmites communis meadow and Tamarix hispida desert,
469a,with Aeluropus littoralis,Grass and forb halophytic meadows
471a,with Populus diversifolia,Grass and forb halophytic meadows
471b,with Populus pruinosa,Grass and forb halophytic meadows
473+469,Achnatherum splendens meadow and Phragmites communis meadow ,
483a,Karelinia caspica meadow,Grass and forb halophytic meadows
483b,Karelinia caspica meadow with Populus pruinosa,Grass and forb halophytic meadows
485a,forb meadow,Grass and forb halophytic meadows
485b,"Suaeda glauca, Polygonum sibiricum meadow",Grass and forb halophytic meadows
485c,"Suaela salsa, Salicornia herbacea meadow",Grass and forb halophytic meadows
486a,Kobresia pygmaea meadow,"Kobresia spp., forb high-cold meadows"
486a+416a,Kobresia pygmaea meadow and Carex moorcroftii steppe,
486b,"Kobresia pygmaea, Stipa purpurea meadow","Kobresia spp., forb high-cold meadows"
486c,"Kobresia pygmaea, Stipa aliena meadow","Kobresia spp., forb high-cold meadows"
486d,"Kobresia pygmaea, Polygonum sphaerostachyum meadow","Kobresia spp., forb high-cold meadows"
488a,Kobresia capillifolia meadow,"Kobresia spp., forb high-cold meadows"
488b,"Kobresia capillifolia, Stipa purpurea meadow","Kobresia spp., forb high-cold meadows"
488c,"Kobresia capilifolia, Polygonum viviparum meadow","Kobresia spp., forb high-cold meadows"
492a,Kobresia smirnovii meadow,"Kobresia spp., forb high-cold meadows"
492b,Kobresia filifolia meadow,"Kobresia spp., forb high-cold meadows"
492c,Kobresia myosuroides meadow,"Kobresia spp., forb high-cold meadows"
492d,Kobresia stenocarpa meadow,"Kobresia spp., forb high-cold meadows"
492e,"Kobresia graminifolia, forb meadow","Kobresia spp., forb high-cold meadows"
492f,"Kobresia schoenoides (K. tibetica), Polygonum viviparum meadow","Kobresia spp., forb high-cold meadows"
493a,"Kobresia schoenoides, Carex spp. meadow","Kobresia spp., forb high-cold meadows"
493a+486a,"Kobresia schoenoides, Carex spp. meadow and Kobresia pygmaea meadow",
493b,Kobresia littledalei meadow,"Kobresia spp., forb high-cold meadows"
493b+529,"Kobresia littledalei meadow and Carex spp., Deschampsia caespitosa marsh",
493b+c,Kobresia littledalei meadow and Kobresia deasyi meadow ,
493c,Kobresia deasyi meadow,"Kobresia spp., forb high-cold meadows"
493c+195,Kobresia deasyi meadow and Myricaria squamosa scrub,
493c+b,Kobresia deasyi meadow and Kobresia littledalei meadow,
493d,"Blysmus sinocompressus, Carex spp. meadow","Kobresia spp., forb high-cold meadows"
497a,"Poa rossbergiana, Littledalea racemosa meadow","Kobresia spp., forb high-cold meadows"
497b,"Poa alpina, forb meadow","Kobresia spp., forb high-cold meadows"
500a,Carex scabrirostris meadow,"Kobresia spp., forb high-cold meadows"
500b,Carex atrofusca meadow,"Kobresia spp., forb high-cold meadows"
500c,Carex stenocarpa meadow,"Kobresia spp., forb high-cold meadows"
500d,Carex alpina meadow,"Kobresia spp., forb high-cold meadows"
505+342,Saussurea spp. meadow and Rhodiola algida var. tangutica desert,
505a,"Saussurea arenaria, S. humilis meadow","Kobresia spp., forb high-cold meadows"
505b,Saussurea alpine meadow,"Kobresia spp., forb high-cold meadows"
507a,"with Typha angustifolia, Hippuris vulgaris",Cold-temperate and temperate marshes
509+454,"Carex tato, Deyeuxia angustifolia marsh and Sanguisorba parviflora, Trollius spp., grass meadow",
517a,"with Larix olgensis var. changpaiensis, Ledum palustre",Cold-temperate and temperate marshes
517b,"with Larix gmelinii, Ledum palustre",Cold-temperate and temperate marshes
549a,Rice field ,One year one ripe grain fields and cold-tolerant economic crop fields
550+083,"Spring wheat, medium and late maturing soybean, Chinese sorghum; sugar beet, sunflower, flax field and Populus davidiana forest",
550+69a,"Spring wheat, medium and late maturing soybean, Chinese sorghum; sugar beet, sunflower, flax field and Quercus mongolica forest",
550a,Rice field ,One year one ripe grain fields and cold-tolerant economic crop fields
551+083,"Spring wheat, naked oats, buckwheat, potato, flax field and Populus davidiana forest",
556a,"Spring (winter) wheat, food grains other than wheat and rice field; apple, pear orchard",One year one ripe grain fields an cold-tolerant economic crop fields; deciduous orchards
556b,Food grains other than wheat and rice field,One year one ripe grain fields an cold-tolerant economic crop fields; deciduous orchards
558a,"Winter wheat, food grains other than wheat and rice field",Two years three ripes or one year two ripes grain fields and deciduous orchards
558b,Food grains other than wheat and rice field,Two years three ripes or one year two ripes grain fields and deciduous orchards
558c,Rice field,Two years three ripes or one year two ripes grain fields and deciduous orchards
558d,Intercropping with jujube and grains field,Two years three ripes or one year two ripes grain fields and deciduous orchards
558e,"Wheat, corn, cotton field",Two years three ripes or one year two ripes grain fields and deciduous orchards
558f,"Apple, pear orchard",Two years three ripes or one year two ripes grain fields and deciduous orchards
558g,Vegetable field,Two years three ripes or one year two ripes grain fields and deciduous orchards
560a,"Winter wheat, food grains other than wheat and rice field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560b,"Chinese sorghum, cotton field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560c,"Sweet potato, peanut, soybean field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560d,"Wheat, corn, peanut field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560e,"Tobacoo, wheat, food grains other than wheat and rice field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560f,"Wheat, corn, cotton field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560g,"Cotton, wheat, food grains other than wheat and rice field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560h,"Food grains other than wheat and rice, cotton, oil crops field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560i,"Rice, winter wheat field",Two years three ripes or one year two ripes grain fields and deciduous orchards
560j,Intercropping Paulownia and grains field,Two years three ripes or one year two ripes grain fields and deciduous orchards
560k,Intercropping mulberry and grains field,Two years three ripes or one year two ripes grain fields and deciduous orchards
560l,Intercropping chestnut and grains field,Two years three ripes or one year two ripes grain fields and deciduous orchards
560m,Intercropping jujube and grains field,Two years three ripes or one year two ripes grain fields and deciduous orchards
560n,"Apple, pear orchard",Two years three ripes or one year two ripes grain fields and deciduous orchards
560o,Grape orchard,Two years three ripes or one year two ripes grain fields and deciduous orchards
560p,Vegetable field,Two years three ripes or one year two ripes grain fields and deciduous orchards
564a,"Rice, wheat, double-cropping rice field",One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
564b,"Intercropping cotton, wheat and soybean field",One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
564c,Single cropping rice field,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
564d,Mulberry field,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
568+568c,"Double-cropping rice and chinese clover, winter wheat, sweet potato field; oiltea camellia plantation; citrus orchard, and Citrus orchard",
568a,Mulberry-grains composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568b,Sugarcane-grains composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568c,Citrus orchard,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568d,Oiltea camellia plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568e,Tung oil tree plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568f,Tea plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568g,"Double-cropping rice, rape (winter wheat) field",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568h,Rice field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
568i,Rice-citrus composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
570a,"Rice, wheat, rape, green manure field",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571a,Mulberry-grains composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571b,Sugarcane-grains composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571c,Citrus orchard,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571d,Oiltea camellia plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571e,Tung oil tree plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571f,Tea plantation,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571g,"Rice, mulberry, sugarcane, banana-fish pond composite field",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571h,"Sugarcane, peanut, sweet potato, cassava field",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571i,Rice-citrus composite field,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571j,"Double-cropping rice, sugarcane field; citrus orchard",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571k,"Vegetable field; apple, pear, honey peach orchard",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
571l,"Tea plantation; citrus, litchi, mango, pear orchard",One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
572a,"Double-cropping corn or corn, late maturing rice field",One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572b,"Citrus, mango, coconut plantation",One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572c,Rubber plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572d,Red bayberry orchard,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572e,Tobacco field,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572f,Narcissus garden,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572g,Citrus orchard,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572h,Litchi orchard,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572i,Chinese aneise plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572j,Banana plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572k,Oiltea camellia plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
572l,"Double-cropping rice, sugarcane field",One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573a,Citrus orchard,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573b,Litchi orchard,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573c,"Hemp, lemongrass field; pepper garden",One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573d,Rubber plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573e,Banana plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573f,Oiltea camillia plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573g,Coconut plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573h,Sugarcane-grains composite field,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573i,Horsetail beefwood plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573j,Pineapple plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573l,Casuarina equisetifolia plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573m,Eucalyptus plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
573n,Chinese cedar plantation,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
574Sa,Sandy desert,No vegetation
575Gr,Gravel desert,No vegetation
576R,Rocky desert or alpine rock debris,No vegetation
577Go,Gobi,No vegetation
578Ss,Saline soil,No vegetation
579Sm,Salt marsh,No vegetation
580Ps,Pellicular salt,No vegetation
581T,Takir,No vegetation
582B,Bare ground,No vegetation
583Bg,Bare gobi,No vegetation
584Bs,Bare salt lick,No vegetation
585Rm,Rocky mountain,No vegetation
586M,Marsh,No vegetation
587W,Yardan,No vegetation
588Sc,Snow capped,No vegetation
589Sf,Salt field,No vegetation
